epoch,loss,dev,test
0,1.834152,0.288889,0.378882
1,1.690162,0.288889,0.360248
2,1.148076,0.333333,0.372671
3,0.682673,0.355556,0.322981
4,0.402231,0.444444,0.304348
5,0.32593,0.4,0.304348
6,0.471448,0.4,0.285714
7,0.343802,0.377778,0.31677
8,0.331874,0.377778,0.335404
9,0.441314,0.288889,0.322981
10,0.351274,0.222222,0.335404
11,0.358528,0.2,0.341615
12,0.456351,0.266667,0.310559
13,0.269454,0.311111,0.354037
14,0.266483,0.288889,0.36646
15,0.274601,0.288889,0.360248
16,0.541938,0.311111,0.322981
17,0.309445,0.333333,0.322981
18,0.272842,0.311111,0.31677
19,0.16719,0.311111,0.322981
20,0.348079,0.288889,0.322981
21,0.199703,0.288889,0.322981
22,0.148281,0.244444,0.322981
23,0.343473,0.244444,0.304348
24,0.127588,0.266667,0.298137
25,0.337067,0.288889,0.310559
26,0.159444,0.333333,0.329193
27,0.159002,0.355556,0.329193
28,0.243502,0.333333,0.329193
29,0.1953,0.333333,0.304348
,,,
max,1.834152,0.444444,0.378882
min,0.127588,0.2,0.285714
mean,0.440040233,0.312592567,0.327743233
