epoch,loss,dev,test
0,1.83145,0.444444,0.335404
1,1.792476,0.444444,0.322981
2,1.3725,0.422222,0.322981
3,0.602414,0.377778,0.31677
4,0.518743,0.355556,0.304348
5,0.466622,0.311111,0.291925
6,0.392242,0.288889,0.273292
7,0.342334,0.311111,0.291925
8,0.293072,0.288889,0.304348
9,0.410734,0.244444,0.31677
10,0.325126,0.244444,0.31677
11,0.148664,0.266667,0.31677
12,0.123609,0.266667,0.310559
13,0.279293,0.288889,0.31677
14,0.274456,0.288889,0.298137
15,0.242353,0.355556,0.329193
16,0.394559,0.377778,0.322981
17,0.212468,0.4,0.329193
18,0.152689,0.4,0.31677
19,0.183322,0.4,0.322981
20,0.136977,0.4,0.310559
21,0.083673,0.355556,0.322981
22,0.0754,0.311111,0.341615
23,0.14926,0.311111,0.31677
24,0.142733,0.333333,0.329193
25,0.134513,0.333333,0.329193
26,0.092685,0.311111,0.329193
27,0.153562,0.333333,0.335404
28,0.150365,0.355556,0.341615
29,0.136919,0.333333,0.335404
