epoch,loss,dev,test
0,1.831421,0.444444,0.304348
1,1.802735,0.466667,0.360248
2,1.745724,0.4,0.322981
3,1.581636,0.4,0.304348
4,1.175449,0.444444,0.335404
5,0.586754,0.333333,0.335404
6,0.426206,0.355556,0.341615
7,0.30292,0.4,0.347826
8,0.569763,0.377778,0.304348
9,0.396397,0.4,0.310559
10,0.473669,0.355556,0.304348
11,0.486396,0.422222,0.279503
12,0.383058,0.422222,0.304348
13,0.634957,0.444444,0.310559
14,0.242871,0.355556,0.304348
15,0.296737,0.355556,0.298137
16,0.111236,0.377778,0.285714
17,0.122757,0.355556,0.310559
18,0.234954,0.355556,0.298137
19,0.139148,0.333333,0.279503
20,0.073865,0.288889,0.298137
21,0.071804,0.333333,0.298137
22,0.060614,0.311111,0.310559
23,0.048065,0.333333,0.310559
24,0.056294,0.311111,0.31677
25,0.055039,0.333333,0.322981
26,0.033008,0.333333,0.329193
27,0.05286,0.355556,0.322981
28,0.031461,0.377778,0.310559
29,0.014258,0.377778,0.304348
30,0.030685,0.355556,0.298137
31,0.034967,0.355556,0.304348
32,0.034757,0.333333,0.304348
33,0.00862,0.355556,0.310559
34,0.005006,0.355556,0.310559
35,0.010882,0.377778,0.310559
36,0.028026,0.377778,0.329193
37,0.007304,0.355556,0.329193
38,0.040608,0.377778,0.322981
39,0.031395,0.333333,0.335404
40,0.021982,0.333333,0.335404
41,0.011047,0.377778,0.347826
42,0.034387,0.311111,0.322981
43,0.006349,0.333333,0.322981
44,0.01754,0.311111,0.322981
45,0.018637,0.288889,0.322981
46,0.017876,0.288889,0.31677
47,0.023212,0.311111,0.298137
48,0.006092,0.311111,0.304348
49,0.00687,0.333333,0.310559
,,,
max,1.831421,0.466667,0.360248
min,0.005006,0.288889,0.279503
mean,0.28876596,0.3586667,0.3145342
