epoch,loss,dev,test
0,9.767743,0.523316,0.583516
1,1.295122,0.528497,0.648432
2,0.327671,0.523316,0.67469
3,0.125969,0.546632,0.680525
4,0.171744,0.546632,0.646244
5,0.086474,0.582902,0.67469
6,0.046155,0.57772,0.685631
7,0.061796,0.554404,0.679066
8,0.148873,0.569948,0.689278
9,0.082288,0.569948,0.669584
10,0.165477,0.567358,0.649891
11,0.263038,0.536269,0.664478
12,0.132943,0.53886,0.668125
13,0.092475,0.580311,0.657185
14,0.066743,0.562176,0.653538
15,0.178482,0.554404,0.683443
16,0.210969,0.601036,0.689278
17,0.112398,0.562176,0.648432
18,0.175872,0.562176,0.657185
19,0.198602,0.554404,0.679796
20,0.204582,0.569948,0.606127
21,0.154344,0.585492,0.630926
22,0.54842,0.512953,0.634573
23,0.548069,0.551813,0.611233
24,0.342074,0.564767,0.701678
25,0.35578,0.57513,0.644055
26,0.247879,0.590674,0.701054
27,0.268041,0.556995,0.618527
28,0.358002,0.569948,0.673961
29,0.286238,0.606218,0.701678
