epoch,loss,dev,test
0,9.491027,0.445596,0.524435
1,0.935669,0.510363,0.593727
2,0.251471,0.531088,0.587163
3,0.110851,0.507772,0.595915
4,0.074451,0.531088,0.59008
5,0.035086,0.523316,0.60248
6,0.031631,0.523316,0.612691
7,0.050091,0.520725,0.606856
8,0.033432,0.512953,0.609774
9,0.035174,0.541451,0.631656
10,0.067726,0.53886,0.609044
11,0.024116,0.546632,0.619985
12,0.050186,0.549223,0.62655
13,0.026135,0.541451,0.613421
14,0.044993,0.544041,0.653538
15,0.019562,0.559585,0.660832
16,0.048294,0.536269,0.657914
17,0.035276,0.525907,0.611233
18,0.072031,0.562176,0.621444
19,0.663613,0.435233,0.517141
20,1.162773,0.505181,0.61488
21,1.226542,0.520725,0.593727
22,0.796006,0.567358,0.618527
23,0.726041,0.634715,0.66229
24,0.620819,0.637306,0.654267
25,0.421062,0.611399,0.675419
26,0.248517,0.585492,0.647702
27,0.273546,0.650259,0.667396
28,0.156482,0.65285,0.678819
