epoch,loss,dev,test
0,1.831236,0.466667,0.341615
1,1.803761,0.555556,0.354037
2,1.752382,0.533333,0.329193
3,1.614945,0.488889,0.31677
4,1.268531,0.422222,0.322981
5,0.781223,0.444444,0.291925
6,0.408059,0.488889,0.291925
7,0.313573,0.422222,0.329193
8,0.276136,0.444444,0.354037
9,0.33381,0.511111,0.341615
10,0.275333,0.511111,0.335404
11,0.275671,0.533333,0.335404
12,0.121351,0.511111,0.291925
13,0.10552,0.511111,0.310559
14,0.115938,0.466667,0.335404
15,0.129535,0.488889,0.341615
16,0.104952,0.466667,0.322981
17,0.115337,0.444444,0.298137
18,0.08253,0.444444,0.310559
19,0.067737,0.466667,0.310559
20,0.082199,0.466667,0.310559
21,0.090103,0.466667,0.304348
22,0.040175,0.466667,0.291925
23,0.076073,0.488889,0.285714
24,0.037565,0.466667,0.285714
25,0.081643,0.422222,0.298137
26,0.067304,0.422222,0.285714
27,0.052837,0.4,0.273292
28,0.05132,0.422222,0.285714
29,0.038027,0.4,0.285714
