epoch,loss,dev,test
0,1.831179,0.311111,0.279503
1,1.799321,0.355556,0.310559
2,1.735258,0.422222,0.285714
3,1.541974,0.444444,0.291925
4,1.054681,0.444444,0.285714
5,0.559176,0.4,0.273292
6,0.321557,0.4,0.310559
7,0.383004,0.444444,0.285714
8,0.579751,0.444444,0.291925
9,0.597575,0.466667,0.298137
10,0.228283,0.422222,0.304348
11,0.193813,0.422222,0.31677
12,0.41961,0.466667,0.335404
13,0.19542,0.422222,0.304348
14,0.263625,0.422222,0.304348
15,0.252133,0.377778,0.291925
16,0.162787,0.377778,0.291925
17,0.109372,0.355556,0.267081
18,0.10311,0.355556,0.285714
19,0.160657,0.355556,0.298137
20,0.056444,0.355556,0.279503
21,0.062387,0.355556,0.279503
22,0.074777,0.377778,0.291925
23,0.047134,0.377778,0.298137
24,0.122495,0.333333,0.31677
25,0.046101,0.333333,0.329193
26,0.074684,0.355556,0.322981
27,0.067349,0.355556,0.31677
28,0.04477,0.377778,0.31677
29,0.051398,0.466667,0.322981
