epoch,loss,dev,test
0,9.24781,0.48244,0.514286
1,0.981315,0.486137,0.6
2,0.313107,0.499076,0.58882
3,0.180957,0.495379,0.607453
4,0.116556,0.512015,0.607453
5,0.050888,0.537893,0.606211
6,0.070132,0.534196,0.623602
7,0.030716,0.504621,0.593789
8,0.027075,0.51756,0.637267
9,0.02571,0.521257,0.623602
10,0.040068,0.537893,0.618634
11,0.01454,0.548983,0.624845
12,0.017533,0.537893,0.613665
13,0.007306,0.534196,0.62236
14,0.012479,0.536044,0.624845
15,0.007965,0.508318,0.623602
16,0.006507,0.50647,0.603727
17,0.038469,0.513863,0.598758
18,0.174635,0.524954,0.576398
19,0.227686,0.515712,0.597516
20,0.04362,0.500924,0.56646
21,0.037391,0.508318,0.601242
22,0.041084,0.50647,0.557764
23,0.093178,0.513863,0.583851
24,0.106151,0.528651,0.604969
25,0.133077,0.510166,0.582609
26,0.335436,0.545287,0.602484
27,0.480636,0.502773,0.571429
28,0.684366,0.491682,0.582609
29,0.863042,0.513863,0.546584
