epoch,loss,dev,test
0,1.828767,0.315789,0.323529
1,1.548344,0.315789,0.333333
2,0.949834,0.298246,0.294118
3,0.396778,0.333333,0.323529
4,0.279418,0.333333,0.313725
5,0.187959,0.280702,0.294118
6,0.135267,0.350877,0.254902
7,0.177451,0.403509,0.294118
8,0.128604,0.368421,0.323529
9,0.177235,0.368421,0.333333
10,0.146725,0.385965,0.313725
11,0.158003,0.368421,0.333333
12,0.160906,0.368421,0.323529
13,0.126649,0.385965,0.323529
14,0.068525,0.350877,0.343137
15,0.056761,0.333333,0.313725
16,0.294149,0.350877,0.303922
17,0.039588,0.315789,0.264706
18,0.06438,0.315789,0.22549
19,0.038221,0.333333,0.264706
20,0.044133,0.333333,0.264706
21,0.021587,0.333333,0.264706
22,0.012259,0.421053,0.264706
23,0.007971,0.421053,0.245098
24,0.016313,0.385965,0.254902
25,0.020933,0.385965,0.284314
26,0.006325,0.421053,0.264706
27,0.005513,0.421053,0.284314
28,0.013948,0.438596,0.284314
29,0.039782,0.333333,0.294118
