epoch,loss,dev,test
0,9.164522,0.406654,0.428571
1,3.262499,0.4122,0.49441
2,0.961252,0.434381,0.519255
3,0.631003,0.406654,0.536646
4,0.335339,0.430684,0.486957
5,0.433307,0.408503,0.501863
6,0.311563,0.417745,0.511801
7,0.279188,0.451017,0.454658
8,0.313351,0.417745,0.465839
9,0.177652,0.441774,0.500621
10,0.262241,0.415896,0.503106
11,0.268866,0.432532,0.500621
12,0.447079,0.408503,0.475776
13,0.300144,0.397412,0.467081
14,0.202776,0.445471,0.474534
15,0.236287,0.439926,0.478261
16,0.227705,0.449168,0.495652
17,0.280507,0.438078,0.48323
18,0.299148,0.480591,0.514286
19,0.675644,0.441774,0.490683
20,0.3074,0.434381,0.453416
21,0.35091,0.428835,0.509317
22,0.273751,0.434381,0.496894
23,0.37911,0.439926,0.479503
24,0.250224,0.451017,0.520497
25,0.259942,0.404806,0.489441
26,0.181102,0.445471,0.506832
27,0.05296,0.471349,0.49441
28,0.051322,0.454713,0.525466
29,0.073823,0.451017,0.514286
