epoch,loss,dev,test
0,1.830646,0.245614,0.342549
1,1.795976,0.280702,0.284314
2,1.718923,0.298246,0.205882
3,1.522203,0.333333,0.27451
4,1.034305,0.333333,0.294118
5,0.679752,0.350877,0.245098
6,0.347276,0.298246,0.27451
7,0.353005,0.315789,0.245098
8,0.288779,0.333333,0.235294
9,0.345263,0.350877,0.264706
10,0.24351,0.333333,0.284314
11,0.17188,0.385965,0.294118
12,0.257925,0.403509,0.264706
13,0.293598,0.385965,0.245098
14,0.217357,0.421053,0.264706
15,0.096738,0.438596,0.264706
16,0.274579,0.421053,0.284314
17,0.328764,0.421053,0.264706
18,0.175297,0.421053,0.27451
19,0.108199,0.438596,0.27451
20,0.122788,0.438596,0.284314
21,0.097011,0.421053,0.27451
22,0.09211,0.385965,0.27451
23,0.066116,0.385965,0.27451
24,0.054736,0.403509,0.27451
25,0.061683,0.385965,0.284314
26,0.054953,0.385965,0.284314
27,0.027515,0.385965,0.284314
28,0.035436,0.385965,0.284314
29,0.03392,0.421053,0.284314
