epoch,loss,dev,test
0,9.408327,0.402344,0.397476
1,0.817511,0.46875,0.501577
2,0.239521,0.457031,0.511041
3,0.109248,0.46875,0.514196
4,0.048696,0.480469,0.539432
5,0.035074,0.496094,0.545741
6,0.024229,0.484375,0.539432
7,0.018341,0.449219,0.542587
8,0.010897,0.445312,0.539432
9,0.009329,0.441406,0.520505
10,0.009077,0.445312,0.542587
11,0.006341,0.449219,0.542587
12,0.00585,0.445312,0.55205
13,0.006914,0.441406,0.55205
14,0.005965,0.453125,0.55836
15,0.012822,0.441406,0.548896
16,0.019179,0.460938,0.529968
17,0.005393,0.507812,0.542587
18,0.008189,0.507812,0.555205
19,0.003667,0.511719,0.55205
20,0.002816,0.492188,0.555205
21,0.003325,0.496094,0.545741
22,0.013528,0.472656,0.504732
23,0.009388,0.421875,0.507886
24,0.004844,0.445312,0.539432
25,0.002615,0.457031,0.545741
26,0.035135,0.480469,0.574132
27,0.004042,0.511719,0.570978
28,0.004382,0.519531,0.583596
29,0.002833,0.507812,0.574132
