epoch,loss,dev,test
0,1.647342,0.386364,0.285714
1,1.458863,0.363636,0.303571
2,1.149846,0.340909,0.321429
3,0.74675,0.363636,0.303571
4,0.388781,0.363636,0.339286
5,0.205483,0.363636,0.25
6,0.133582,0.340909,0.25
7,0.086981,0.340909,0.303571
8,0.039828,0.363636,0.321429
9,0.052444,0.363636,0.339286
10,0.04394,0.363636,0.285714
11,0.075234,0.318182,0.321429
12,0.093162,0.295455,0.321429
13,0.075081,0.295455,0.321429
14,0.087811,0.295455,0.285714
15,0.088548,0.318182,0.25
16,0.055417,0.340909,0.232143
17,0.031737,0.318182,0.285714
18,0.014147,0.318182,0.303571
19,0.034536,0.363636,0.285714
20,0.010866,0.340909,0.285714
21,0.041893,0.340909,0.285714
22,0.026202,0.340909,0.267857
23,0.011867,0.340909,0.285714
24,0.006691,0.340909,0.303571
25,0.011233,0.340909,0.321429
26,0.026297,0.318182,0.303571
27,0.005356,0.318182,0.303571
28,0.016187,0.318182,0.25
29,0.006278,0.386364,0.25
