epoch,loss,dev,test
0,8.79979,0.414062,0.362776
1,2.547373,0.421875,0.451104
2,0.577602,0.457031,0.470032
3,0.328416,0.445312,0.460568
4,0.159783,0.421875,0.457413
5,0.132693,0.453125,0.432177
6,0.108942,0.414062,0.463722
7,0.049266,0.441406,0.44795
8,0.027841,0.449219,0.488959
9,0.058652,0.453125,0.473186
10,0.109936,0.464844,0.466877
11,0.286285,0.433594,0.444795
12,0.158409,0.449219,0.429022
13,0.643087,0.460938,0.460568
14,0.303005,0.433594,0.44795
15,0.162427,0.445312,0.460568
16,0.147907,0.441406,0.470032
17,0.210397,0.449219,0.44164
18,0.202015,0.457031,0.457413
19,0.674577,0.414062,0.44795
20,0.41455,0.460938,0.504732
21,0.21852,0.457031,0.504732
22,0.235498,0.476562,0.463722
23,0.288312,0.46875,0.48265
24,0.300453,0.476562,0.48265
25,0.59991,0.40625,0.488959
26,0.254401,0.390625,0.51735
27,0.406876,0.457031,0.492114
28,0.156668,0.4375,0.511041
29,0.316629,0.457031,0.460568
