epoch,loss,dev,test
0,1.648072,0.295455,0.339286
1,1.627085,0.295455,0.410714
2,1.597488,0.25,0.428571
3,1.544632,0.295455,0.303571
4,1.46116,0.25,0.285714
5,1.261307,0.272727,0.25
6,1.008516,0.340909,0.25
7,0.717183,0.295455,0.214286
8,0.465076,0.295455,0.267857
9,0.289067,0.340909,0.285714
10,0.196077,0.340909,0.285714
11,0.788147,0.363636,0.321429
12,0.283144,0.340909,0.303571
13,0.176367,0.295455,0.25
14,0.080126,0.318182,0.232143
15,0.165642,0.340909,0.214286
16,0.122723,0.363636,0.196429
17,0.234171,0.363636,0.214286
18,0.090928,0.386364,0.232143
19,0.135748,0.409091,0.232143
20,0.118837,0.386364,0.232143
21,0.040037,0.363636,0.232143
22,0.077419,0.363636,0.267857
23,0.027203,0.340909,0.285714
24,0.081948,0.340909,0.285714
25,0.021552,0.363636,0.285714
26,0.024453,0.363636,0.285714
27,0.071176,0.363636,0.285714
28,0.021355,0.363636,0.339286
29,0.044506,0.386364,0.321429
