epoch,loss,dev,test
0,8.229656,0.347656,0.378549
1,7.69692,0.429688,0.444795
2,6.848693,0.449219,0.466877
3,5.583759,0.460938,0.48265
4,4.998827,0.472656,0.435331
5,4.235966,0.503906,0.44164
6,4.413482,0.488281,0.432177
7,3.826768,0.484375,0.432177
8,3.221846,0.421875,0.400631
9,3.170999,0.414062,0.410095
10,3.061811,0.421875,0.37224
11,2.848717,0.453125,0.394322
12,2.890934,0.4375,0.422713
13,2.668391,0.429688,0.369085
14,2.205554,0.4375,0.369085
15,1.860335,0.457031,0.359621
16,1.966431,0.4375,0.381703
17,1.760638,0.394531,0.350158
18,1.766469,0.390625,0.340694
19,1.696917,0.433594,0.37224
20,1.623486,0.425781,0.353312
21,1.738993,0.425781,0.394322
22,1.604138,0.378906,0.328076
23,1.517527,0.441406,0.394322
24,1.776917,0.414062,0.350158
25,1.413422,0.4375,0.365931
26,1.415115,0.394531,0.321767
27,1.633369,0.460938,0.397476
28,1.636382,0.402344,0.334385
29,1.601566,0.425781,0.347003
,,,
max,8.229656,0.503906,0.48265
