epoch,loss,dev,test
0,1.648217,0.386364,0.142857
1,1.623251,0.363636,0.196429
2,1.479105,0.386364,0.232143
3,1.062511,0.454545,0.214286
4,0.51879,0.409091,0.25
5,0.283618,0.318182,0.303571
6,0.339093,0.340909,0.357143
7,0.247932,0.318182,0.339286
8,0.473746,0.318182,0.339286
9,0.470532,0.363636,0.303571
10,0.144384,0.363636,0.321429
11,0.216134,0.340909,0.321429
12,0.392272,0.363636,0.339286
13,0.181325,0.363636,0.285714
14,0.230305,0.363636,0.285714
15,0.15744,0.363636,0.303571
16,0.130294,0.340909,0.321429
17,0.691731,0.363636,0.303571
18,0.415977,0.340909,0.285714
19,0.124675,0.340909,0.303571
20,0.186859,0.363636,0.303571
21,0.110932,0.363636,0.303571
22,0.085909,0.363636,0.303571
23,0.059812,0.363636,0.339286
24,0.144355,0.340909,0.339286
25,0.132249,0.340909,0.339286
26,0.078015,0.363636,0.339286
27,0.063316,0.363636,0.339286
28,0.125761,0.363636,0.339286
29,0.126949,0.340909,0.357143
,,,
max,1.648217,0.454545,0.357143
