epoch,loss,dev,test
0,7.956296,0.457031,0.422713
1,6.810286,0.480469,0.460568
2,5.96822,0.449219,0.473186
3,5.399103,0.46875,0.48265
4,5.012381,0.441406,0.454259
5,4.473299,0.433594,0.473186
6,4.203994,0.453125,0.457413
7,3.893028,0.457031,0.438486
8,3.835564,0.476562,0.463722
9,3.449002,0.460938,0.476341
10,3.378404,0.457031,0.473186
11,3.238152,0.472656,0.444795
12,2.994001,0.453125,0.470032
13,2.888614,0.460938,0.463722
14,2.896776,0.480469,0.444795
15,2.847023,0.492188,0.504732
16,2.720876,0.425781,0.479495
17,2.597496,0.464844,0.463722
18,2.33604,0.429688,0.479495
19,2.610765,0.457031,0.466877
20,2.561939,0.421875,0.451104
21,2.978697,0.433594,0.488959
22,3.148916,0.441406,0.498423
23,2.865008,0.492188,0.44795
24,2.873916,0.480469,0.438486
25,2.738684,0.476562,0.438486
26,2.24093,0.488281,0.485804
27,1.95184,0.484375,0.429022
28,1.811899,0.5,0.457413
29,1.814674,0.464844,0.457413
,,,
max,7.956296,0.5,0.504732
