epoch,loss,dev,test
0,1.644966,0.340909,0.357143
1,1.555987,0.295455,0.285714
2,1.369089,0.227273,0.285714
3,0.9129,0.227273,0.339286
4,0.498051,0.272727,0.285714
5,0.319616,0.318182,0.25
6,0.283063,0.295455,0.214286
7,0.263878,0.25,0.196429
8,0.218586,0.204545,0.214286
9,0.380131,0.227273,0.196429
10,0.187424,0.204545,0.232143
11,1.146315,0.227273,0.232143
12,0.135996,0.227273,0.214286
13,0.145043,0.25,0.25
14,0.288715,0.25,0.285714
15,0.192522,0.25,0.285714
16,0.416835,0.272727,0.285714
17,0.268573,0.25,0.285714
18,0.269357,0.272727,0.303571
19,0.125843,0.25,0.339286
20,0.402799,0.25,0.321429
21,0.538692,0.204545,0.285714
22,0.15163,0.25,0.285714
23,0.248568,0.272727,0.267857
24,0.145207,0.295455,0.267857
25,0.187734,0.295455,0.267857
26,0.364407,0.295455,0.267857
27,0.252308,0.318182,0.25
28,0.166119,0.295455,0.25
29,0.275258,0.295455,0.25
,,,
max,1.644966,0.340909,0.357143
