epoch,loss,dev,test
0,8.230877,0.414062,0.413249
1,7.621057,0.441406,0.44795
2,6.979983,0.457031,0.479495
3,6.001323,0.441406,0.451104
4,5.218286,0.460938,0.466877
5,5.075346,0.441406,0.473186
6,3.983988,0.425781,0.429022
7,3.866936,0.394531,0.432177
8,3.881069,0.40625,0.33123
9,3.473866,0.414062,0.33123
10,3.017979,0.414062,0.419558
11,3.29134,0.417969,0.337539
12,2.548451,0.378906,0.369085
13,1.991513,0.394531,0.381703
14,2.136917,0.390625,0.353312
15,1.923812,0.398438,0.37224
16,1.776882,0.417969,0.397476
17,1.846152,0.417969,0.369085
18,1.572884,0.351562,0.353312
19,1.580069,0.390625,0.356467
20,1.527229,0.382812,0.40694
21,1.569217,0.371094,0.403785
22,1.485626,0.398438,0.384858
23,1.469483,0.394531,0.413249
24,1.266005,0.398438,0.378549
25,1.416866,0.375,0.416404
26,1.37948,0.375,0.378549
27,1.435658,0.390625,0.391167
28,1.455431,0.386719,0.400631
29,1.157476,0.402344,0.394322
,,,
max,8.230877,0.460938,0.479495
