epoch,loss,dev,test
0,1.647547,0.386364,0.375
1,1.626913,0.386364,0.303571
2,1.594373,0.318182,0.303571
3,1.536838,0.295455,0.232143
4,1.416858,0.295455,0.196429
5,1.212757,0.318182,0.25
6,0.915468,0.318182,0.232143
7,0.612763,0.318182,0.232143
8,0.386276,0.340909,0.214286
9,0.301644,0.340909,0.232143
10,0.259851,0.318182,0.303571
11,0.135327,0.295455,0.303571
12,0.361409,0.363636,0.303571
13,0.153936,0.363636,0.285714
14,0.231086,0.340909,0.285714
15,0.207869,0.340909,0.267857
16,0.129844,0.363636,0.25
17,0.254654,0.386364,0.267857
18,0.149905,0.363636,0.285714
19,0.150689,0.363636,0.267857
20,0.191321,0.340909,0.267857
21,0.069109,0.318182,0.285714
22,0.084728,0.318182,0.285714
23,0.086891,0.318182,0.285714
24,0.087676,0.318182,0.285714
25,0.039696,0.340909,0.321429
26,0.053807,0.318182,0.303571
27,0.031146,0.363636,0.339286
28,0.074542,0.340909,0.339286
29,0.01729,0.363636,0.339286
,,,
max,1.647547,0.386364,0.375
