epoch,loss,dev,test
0,9.205506,0.448187,0.44566
1,8.142402,0.448187,0.452225
2,7.312728,0.481865,0.459519
3,6.777355,0.471503,0.467542
4,6.31909,0.484456,0.476295
5,5.735363,0.492228,0.4938
6,5.656204,0.518135,0.503282
7,4.783233,0.510363,0.512764
8,4.490548,0.481865,0.493071
9,4.121922,0.505181,0.477024
10,3.497022,0.502591,0.486506
11,3.434533,0.510363,0.495988
12,3.294571,0.5,0.485777
13,3.484941,0.505181,0.475565
14,3.214746,0.458549,0.460977
15,2.796469,0.484456,0.46973
16,2.593485,0.512953,0.469001
17,2.359334,0.520725,0.484318
18,2.194841,0.510363,0.478483
19,2.091944,0.518135,0.478483
20,2.107426,0.487047,0.480671
21,2.172238,0.502591,0.455872
22,2.097559,0.502591,0.463895
23,2.265959,0.481865,0.45733
24,2.248165,0.481865,0.448578
25,2.383563,0.520725,0.490153
26,2.533161,0.533679,0.474836
27,2.177052,0.512953,0.49453
28,2.102686,0.53886,0.493071
29,2.231723,0.536269,0.496718
