epoch,loss,dev,test
0,9.180179,0.417098,0.426696
1,7.967915,0.46114,0.447848
2,7.177435,0.445596,0.466083
3,6.635842,0.468912,0.460248
4,6.298977,0.455959,0.463166
5,5.627039,0.468912,0.463166
6,5.58913,0.466321,0.453683
7,5.679789,0.463731,0.45733
8,5.340644,0.474093,0.446389
9,5.624026,0.487047,0.453683
10,4.900523,0.479275,0.461707
11,4.507143,0.484456,0.456601
12,4.244506,0.453368,0.455872
13,4.178441,0.466321,0.459519
14,4.068665,0.471503,0.474106
15,3.76085,0.455959,0.45806
16,3.564283,0.448187,0.452954
17,3.569664,0.445596,0.448578
18,4.145529,0.46114,0.451495
19,3.814003,0.489637,0.459519
20,3.385911,0.468912,0.45733
21,3.134063,0.466321,0.444201
22,2.931819,0.468912,0.455142
23,2.726872,0.463731,0.450036
24,2.715566,0.481865,0.44566
25,2.357224,0.450777,0.452954
26,2.636048,0.476684,0.452225
27,2.674864,0.468912,0.452954
28,2.336665,0.445596,0.460977
29,2.158093,0.450777,0.462436
