epoch,loss,dev,test
0,9.225281,0.450777,0.422319
1,7.869977,0.481865,0.444931
2,7.418732,0.450777,0.462436
3,6.973629,0.458549,0.476295
4,6.520109,0.505181,0.471918
5,6.560594,0.523316,0.462436
6,5.887929,0.531088,0.4814
7,5.411386,0.505181,0.453683
8,5.229931,0.497409,0.468271
9,4.823441,0.5,0.474106
10,4.191998,0.523316,0.487236
11,4.141462,0.525907,0.504012
12,3.919226,0.512953,0.498906
13,3.505692,0.531088,0.514223
14,3.544871,0.541451,0.49453
15,3.137812,0.520725,0.495988
16,2.96048,0.507772,0.503282
17,2.773198,0.518135,0.501823
18,2.538909,0.494819,0.48213
19,2.202401,0.528497,0.490153
20,2.08624,0.525907,0.491612
21,2.130894,0.505181,0.496718
22,1.95142,0.487047,0.480671
23,2.026436,0.505181,0.4938
24,1.890877,0.507772,0.501823
25,2.137532,0.523316,0.499635
26,1.807274,0.489637,0.502553
27,1.554831,0.502591,0.4938
28,1.441415,0.523316,0.4938
29,1.605231,0.502591,0.492341
