epoch,loss,dev,test
0,9.172556,0.481865,0.451495
1,7.960686,0.497409,0.452225
2,7.042335,0.518135,0.471918
3,6.576355,0.510363,0.454413
4,5.869593,0.510363,0.456601
5,5.820737,0.510363,0.458789
6,5.35031,0.510363,0.444201
7,4.851296,0.492228,0.452954
8,4.592809,0.481865,0.444201
9,4.268741,0.466321,0.450036
10,4.366181,0.437824,0.431072
11,4.550103,0.46114,0.452225
12,4.968298,0.468912,0.453683
13,5.140847,0.497409,0.436178
14,4.272123,0.502591,0.439825
15,3.629505,0.489637,0.447848
16,3.303899,0.492228,0.447119
17,3.254554,0.492228,0.461707
18,2.952705,0.505181,0.442743
19,2.901686,0.487047,0.437637
20,3.013511,0.512953,0.454413
21,2.814805,0.497409,0.454413
22,2.701925,0.474093,0.456601
23,2.534886,0.494819,0.461707
24,2.499933,0.492228,0.455872
25,2.868873,0.505181,0.450036
26,2.71306,0.458549,0.417943
27,2.929491,0.523316,0.443472
28,2.208532,0.525907,0.447119
29,2.009201,0.507772,0.442743
