epoch,loss,dev,test
0,9.228805,0.443005,0.44566
1,7.971717,0.46114,0.460248
2,7.1886,0.505181,0.466813
3,6.719555,0.520725,0.474106
4,6.133216,0.507772,0.469001
5,5.904028,0.481865,0.482859
6,5.881685,0.505181,0.483589
7,4.973171,0.536269,0.501094
8,4.528181,0.502591,0.502553
9,4.422347,0.528497,0.496718
10,4.351881,0.481865,0.485047
11,4.218286,0.523316,0.485047
12,3.949268,0.520725,0.497447
13,3.159511,0.533679,0.508388
14,2.912591,0.515544,0.492341
15,2.812196,0.525907,0.499635
16,2.615272,0.510363,0.50547
17,2.509958,0.523316,0.506929
18,2.412628,0.541451,0.490153
19,2.318871,0.533679,0.512035
20,2.349654,0.541451,0.471189
21,2.221684,0.536269,0.48213
22,1.912642,0.494819,0.444931
23,1.891079,0.492228,0.467542
24,1.873783,0.512953,0.471189
25,1.880458,0.5,0.483589
26,1.954553,0.528497,0.472648
27,1.835963,0.541451,0.480671
28,1.859157,0.57772,0.471918
29,1.943388,0.551813,0.48213
