epoch,loss,dev,test
0,9.237711,0.440415,0.422319
1,7.928632,0.453368,0.440554
2,7.271729,0.492228,0.447848
3,6.766244,0.46114,0.446389
4,6.330885,0.463731,0.443472
5,5.884593,0.484456,0.434719
6,5.74132,0.492228,0.430343
7,5.490207,0.479275,0.440554
8,5.425005,0.476684,0.438366
9,5.002974,0.492228,0.447119
10,5.03403,0.476684,0.439825
11,4.59826,0.497409,0.43326
12,4.12134,0.5,0.44566
13,3.700772,0.492228,0.437637
14,3.5499,0.471503,0.423778
15,3.322259,0.481865,0.431072
16,3.447277,0.466321,0.431072
17,3.334006,0.474093,0.436178
18,3.062027,0.458549,0.441284
19,2.632096,0.448187,0.442743
20,2.538886,0.458549,0.437637
21,2.446398,0.474093,0.427425
22,2.304687,0.476684,0.439096
23,2.207276,0.46114,0.443472
24,2.119695,0.471503,0.446389
25,2.203277,0.466321,0.44566
26,1.932216,0.481865,0.451495
27,1.852181,0.479275,0.444201
28,1.757591,0.489637,0.436907
29,1.806021,0.463731,0.43326
