epoch,loss,dev,test
0,9.216542,0.396373,0.441284
1,8.091311,0.435233,0.455142
2,7.414495,0.46114,0.458789
3,6.891086,0.476684,0.472648
4,6.397953,0.487047,0.460977
5,5.911585,0.502591,0.475565
6,5.513987,0.525907,0.485777
7,5.074406,0.510363,0.483589
8,4.464503,0.53886,0.50547
9,3.953227,0.531088,0.506929
10,4.051551,0.546632,0.46973
11,3.901462,0.5,0.447119
12,3.723292,0.512953,0.443472
13,3.53115,0.510363,0.440554
14,3.267731,0.528497,0.469001
15,2.947104,0.531088,0.475565
16,2.785103,0.497409,0.47046
17,2.954818,0.533679,0.442013
18,3.146271,0.5,0.462436
19,2.921851,0.494819,0.467542
20,3.082608,0.494819,0.471918
21,3.028182,0.510363,0.461707
22,3.052938,0.53886,0.496718
23,2.946323,0.512953,0.507659
24,2.966453,0.512953,0.491612
25,2.405052,0.487047,0.512035
26,2.480127,0.525907,0.524435
27,2.07933,0.492228,0.484318
28,1.915798,0.512953,0.486506
29,1.799301,0.518135,0.5062
