epoch,loss,dev,test
0,9.209432,0.445596,0.441284
1,7.952855,0.463731,0.455872
2,7.281104,0.497409,0.456601
3,6.702572,0.5,0.442743
4,6.326448,0.468912,0.454413
5,5.894666,0.476684,0.467542
6,5.39674,0.450777,0.444931
7,5.187639,0.507772,0.459519
8,5.172382,0.463731,0.44566
9,4.921323,0.487047,0.460248
10,4.734931,0.476684,0.456601
11,4.449801,0.463731,0.444201
12,4.205812,0.479275,0.442013
13,3.722781,0.453368,0.453683
14,3.688896,0.46114,0.447848
15,3.311575,0.463731,0.462436
16,3.351911,0.448187,0.460977
17,3.362375,0.450777,0.450036
18,3.156278,0.450777,0.455872
19,3.057846,0.448187,0.448578
20,3.115794,0.466321,0.449307
21,2.870983,0.437824,0.447848
22,2.565754,0.445596,0.452954
23,2.450516,0.440415,0.455142
24,2.37613,0.453368,0.451495
25,2.130498,0.448187,0.458789
26,2.026344,0.453368,0.444201
27,1.924317,0.42487,0.439825
28,1.853968,0.42487,0.452225
29,1.717522,0.440415,0.43399
