epoch,loss,dev,test
0,10.014644,0.463731,0.533187
1,1.167442,0.531088,0.625821
2,0.305664,0.531088,0.621444
3,0.136118,0.549223,0.630197
4,0.082907,0.544041,0.644785
5,0.06071,0.551813,0.640408
6,0.041251,0.549223,0.634573
7,0.055933,0.556995,0.621444
8,0.026373,0.567358,0.628738
9,0.052581,0.544041,0.619985
10,0.026304,0.53886,0.640408
11,0.016958,0.53886,0.63895
12,0.029174,0.554404,0.630197
13,0.034636,0.572539,0.629468
14,0.039351,0.556995,0.623632
15,0.114765,0.554404,0.627279
16,0.082189,0.551813,0.640408
17,0.049058,0.544041,0.646973
18,0.063772,0.554404,0.630926
19,0.155019,0.541451,0.629468
20,0.129248,0.541451,0.631656
21,0.460641,0.494819,0.627279
22,0.585716,0.536269,0.625091
23,0.648085,0.512953,0.652079
24,0.538137,0.588083,0.668125
25,0.474123,0.554404,0.635303
26,0.546946,0.523316,0.607586
27,0.459501,0.585492,0.707513
28,0.399896,0.590674,0.724289
29,0.525016,0.556995,0.65062
