epoch,loss,dev,test
0,9.957233,0.494819,0.535376
1,1.050429,0.502591,0.585704
2,0.26052,0.510363,0.618527
3,0.17643,0.492228,0.598833
4,0.073882,0.5,0.613421
5,0.079512,0.528497,0.621444
6,0.072449,0.5,0.595915
7,0.039072,0.507772,0.622903
8,0.02929,0.502591,0.600292
9,0.063191,0.518135,0.625821
10,0.01918,0.554404,0.628009
11,0.010118,0.556995,0.629468
12,0.014161,0.551813,0.624362
13,0.005849,0.541451,0.63822
14,0.007294,0.523316,0.634573
15,0.007955,0.536269,0.617797
16,0.005674,0.536269,0.624362
17,0.003168,0.546632,0.62655
18,0.00278,0.541451,0.633844
19,0.003262,0.544041,0.63822
20,0.001902,0.53886,0.63895
21,0.002958,0.546632,0.641867
22,0.001299,0.549223,0.63822
23,0.001053,0.549223,0.63822
24,0.003086,0.549223,0.640408
25,0.016925,0.531088,0.624362
26,0.109562,0.525907,0.604668
27,0.131704,0.528497,0.60248
28,0.217505,0.523316,0.60248
29,0.507062,0.518135,0.547046
