epoch,loss,dev,test
0,1.831367,0.4,0.229814
1,1.802294,0.422222,0.217391
2,1.751543,0.333333,0.279503
3,1.623317,0.355556,0.273292
4,1.273962,0.355556,0.248447
5,0.736348,0.355556,0.223602
6,0.453916,0.333333,0.236025
7,0.303403,0.355556,0.26087
8,0.286473,0.333333,0.291925
9,0.262753,0.333333,0.273292
10,0.28838,0.333333,0.267081
11,0.145475,0.355556,0.267081
12,0.086324,0.311111,0.285714
13,0.132772,0.377778,0.279503
14,0.162374,0.355556,0.304348
15,0.250866,0.355556,0.298137
16,0.199705,0.355556,0.298137
17,0.060139,0.4,0.322981
18,0.056503,0.377778,0.298137
19,0.070078,0.355556,0.26087
20,0.087526,0.355556,0.267081
21,0.103451,0.311111,0.273292
22,0.07386,0.288889,0.285714
23,0.060562,0.288889,0.291925
24,0.103072,0.311111,0.279503
25,0.125631,0.288889,0.26087
26,0.089869,0.377778,0.285714
27,0.054496,0.4,0.304348
28,0.055469,0.422222,0.291925
29,0.099717,0.4,0.285714
