epoch,loss,dev,test
0,1.83114,0.288889,0.310559
1,1.800865,0.355556,0.341615
2,1.741261,0.355556,0.329193
3,1.575709,0.377778,0.341615
4,1.163702,0.333333,0.31677
5,0.632526,0.311111,0.310559
6,0.464059,0.355556,0.322981
7,0.276862,0.333333,0.335404
8,0.220967,0.333333,0.335404
9,0.580891,0.311111,0.329193
10,0.189681,0.333333,0.310559
11,0.371411,0.333333,0.291925
12,0.157325,0.377778,0.279503
13,0.249915,0.377778,0.285714
14,0.400931,0.355556,0.298137
15,0.226104,0.355556,0.31677
16,0.265282,0.4,0.31677
17,0.164308,0.377778,0.285714
18,0.09735,0.355556,0.322981
19,0.084283,0.333333,0.329193
20,0.095091,0.333333,0.329193
21,0.059363,0.333333,0.341615
22,0.067403,0.311111,0.360248
23,0.27733,0.311111,0.329193
24,0.062887,0.288889,0.322981
25,0.041207,0.288889,0.322981
26,0.048843,0.288889,0.322981
27,0.0376,0.288889,0.322981
28,0.037285,0.333333,0.341615
29,0.044223,0.333333,0.378882
