epoch,loss,dev,test
0,9.248873,0.417098,0.423049
1,8.122936,0.474093,0.426696
2,7.343975,0.510363,0.456601
3,6.879917,0.489637,0.460977
4,6.500146,0.510363,0.466813
5,5.792775,0.497409,0.47046
6,5.409154,0.510363,0.474106
7,4.962446,0.544041,0.475565
8,4.638428,0.497409,0.476295
9,4.936354,0.533679,0.474106
10,4.826255,0.559585,0.488694
11,4.029432,0.525907,0.4814
12,3.434714,0.525907,0.473377
13,3.271711,0.531088,0.477024
14,2.995562,0.502591,0.467542
15,2.885988,0.523316,0.473377
16,2.56711,0.520725,0.483589
17,2.423903,0.487047,0.45733
18,2.258792,0.515544,0.45733
19,2.242805,0.510363,0.466813
20,2.219752,0.531088,0.477753
21,2.003371,0.531088,0.496718
22,2.11291,0.515544,0.49453
23,2.021022,0.505181,0.475565
24,1.937067,0.497409,0.4938
25,1.681591,0.481865,0.496718
26,1.770705,0.512953,0.49453
27,1.631765,0.515544,0.484318
28,1.329194,0.536269,0.503282
29,1.325704,0.523316,0.508388
