epoch,loss,dev,test
0,9.198448,0.419689,0.444201
1,8.008321,0.474093,0.460248
2,7.249033,0.518135,0.460977
3,6.470698,0.474093,0.468271
4,6.128933,0.479275,0.46973
5,5.58997,0.468912,0.453683
6,5.211554,0.489637,0.447848
7,5.184019,0.466321,0.450766
8,4.830127,0.492228,0.459519
9,4.682194,0.453368,0.447119
10,5.140135,0.471503,0.453683
11,4.710472,0.466321,0.447848
12,4.007101,0.432642,0.448578
13,3.986001,0.455959,0.447848
14,3.745655,0.46114,0.447848
15,3.605173,0.46114,0.450766
16,3.303963,0.440415,0.436907
17,3.341065,0.448187,0.442743
18,2.932303,0.468912,0.438366
19,2.932262,0.435233,0.435449
20,3.004018,0.458549,0.453683
21,2.918784,0.443005,0.44566
22,2.67918,0.455959,0.437637
23,2.839343,0.445596,0.432531
24,2.871873,0.437824,0.447119
25,2.322098,0.432642,0.452225
26,2.041092,0.453368,0.454413
27,2.023923,0.435233,0.458789
28,1.929852,0.448187,0.450766
29,1.722598,0.437824,0.450036
