epoch,loss,dev,test
0,9.238015,0.42487,0.423778
1,8.124444,0.435233,0.436907
2,7.402525,0.494819,0.468271
3,6.744065,0.489637,0.48213
4,6.319826,0.466321,0.487236
5,5.871088,0.487047,0.489424
6,5.124414,0.494819,0.512035
7,4.729414,0.494819,0.495988
8,4.584102,0.510363,0.50547
9,4.295317,0.481865,0.5062
10,3.90011,0.505181,0.528082
11,3.900527,0.494819,0.495259
12,4.754479,0.479275,0.468271
13,3.673628,0.445596,0.493071
14,3.190338,0.481865,0.50547
15,2.709097,0.484456,0.51787
16,2.555562,0.484456,0.4938
17,2.456834,0.450777,0.508388
18,2.469702,0.46114,0.508388
19,2.292174,0.474093,0.504741
20,2.252704,0.481865,0.508388
21,2.09009,0.507772,0.500365
22,1.826749,0.5,0.514223
23,1.646823,0.536269,0.520058
24,1.632478,0.507772,0.504012
25,1.606129,0.512953,0.525164
26,1.430427,0.520725,0.512764
27,1.361275,0.518135,0.520058
28,1.507273,0.484456,0.498906
29,1.34462,0.507772,0.514953
