epoch,loss,dev,test
0,9.274409,0.440415,0.428155
1,7.884651,0.471503,0.453683
2,7.271267,0.479275,0.456601
3,6.698126,0.5,0.499001
4,6.516284,0.453368,0.474624
5,6.143493,0.466321,0.455872
6,5.662238,0.502591,0.452954
7,5.618477,0.463731,0.448578
8,5.16201,0.484456,0.449307
9,4.878315,0.468912,0.456601
10,4.559861,0.471503,0.458789
11,4.449273,0.466321,0.466813
12,4.078706,0.466321,0.453683
13,3.840178,0.458549,0.446389
14,3.777724,0.468912,0.436178
15,3.472907,0.458549,0.465354
16,3.290184,0.440415,0.462436
17,3.162396,0.409326,0.451495
18,2.846589,0.432642,0.451495
19,2.660451,0.419689,0.449307
20,2.716333,0.448187,0.437637
21,2.839384,0.466321,0.455142
22,2.718165,0.445596,0.444201
23,2.624453,0.448187,0.419402
24,2.563171,0.466321,0.434719
25,2.348309,0.455959,0.444931
26,2.090789,0.455959,0.444931
27,1.835343,0.46114,0.451495
28,1.835606,0.450777,0.447119
29,1.859102,0.443005,0.448578
